## RunInfo	version:0.6.5	annotated_features:14968	total_fragments:53446194	pair_mapped:0	pair_mixed:0	single_mapped:39308284	unmapped:14137910	unique:24726768	ambig:14581516	overlap_unique:62904	overlap_ambig:984008
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
__no_feature	0	572093	547194.00	0.493	625067	0	451414	480606	480613.67	0.43
HERVH_3p14.3a	5721	39933	22585.00	0.0361	111499	1134	17574	21744	21704.55	0.0213
HERVH_3q13.2	4954	35039	15636.00	0.0273	129557	370	14136	16858	16856.76	0.0152
HERVH_20q12b	5708	23956	14824.00	0.0214	71955	779	11659	13111	13118.07	0.0123
HERVH_1q41h	5761	23216	9353.00	0.0213	128911	166	6843	8951	8975.67	0.00996
HERVH_16q21d	5545	18997	9901.00	0.0199	119789	345	6913	9219	9317.44	0.0106
HERVH_13q21.1a	5860	17447	9278.00	0.0171	116866	496	8418	10806	10825.69	0.0101
HERVH_Xq23g	5860	17031	6918.00	0.0174	136981	268	4672	6900	6992.27	0.00625
HERVH_6q22.1a	5929	15263	11264.00	0.0197	95086	797	10480	12060	12073.53	0.0125
HERVH_Xq21.31c	5678	15252	12802.00	0.0197	86223	235	10754	12957	12894.41	0.0142
HERVH_7q21.11	5716	14293	9330.00	0.0149	86225	220	9198	10550	10540.90	0.00938
HERVH_4q22.1a	4193	14215	3250.00	0.011	95918	103	2741	4116	4130.71	0.004
HERVH_4q34.3b	4093	12680	10075.00	0.0134	53279	369	9098	9957	9982.19	0.0106
HERVH_13q14.3a	5141	12012	5731.00	0.0141	115404	735	6334	8362	8322.70	0.0074
HERVH_9q22.33a	5521	7546	3948.00	0.00894	106464	211	4628	6173	6173.15	0.00591
HERVH_13q14.11a	5155	7053	4496.00	0.00736	87184	107	4996	6255	6255.36	0.00511
HERVH_16p13.2b	6772	6957	5636.00	0.00673	52585	457	4909	5474	5493.38	0.00517
HML2_22q11.21	9175	6952	6294.00	0.00926	10032	11	1094	2086	2079.60	0.00259
HERVH_12q14.1b	5799	6840	4354.00	0.0107	100552	116	4113	5563	5559.48	0.00611
HERVH_12p12.3a	5220	6089	3311.00	0.00808	115535	127	3341	4752	4726.76	0.00516
HERVH_2p12c	5784	5781	3663.00	0.00686	77090	290	3515	4271	4283.31	0.00481
HERVH_5q23.1c	5866	4692	3418.00	0.00584	81641	229	3566	4075	4096.46	0.00429
HERVH_5q23.2g	6369	4375	2671.00	0.00654	109865	293	3108	3895	3868.13	0.00394
HERVH_8q23.3d	6036	4305	2942.00	0.00531	83599	585	3547	4054	4062.22	0.00395
HERVH_19q13.42a	5945	3774	2403.00	0.00524	94363	311	3022	4261	4267.52	0.00468
HERVH_11p14.1a	5855	3540	1638.00	0.00391	102703	70	2297	3332	3319.57	0.00282
HERVH_2p14d	6085	3334	2622.00	0.00299	33625	455	2637	3010	2992.13	0.00246
HERVH_20p12.1b	5815	3320	1691.00	0.00488	94206	162	1841	2527	2584.94	0.00269
HERVH_9q22.31b	5757	3288	1498.00	0.00381	102957	84	2026	2711	2690.96	0.00266
HERVH_4q35.2a	5629	3111	2733.00	0.00311	7488	624	3110	3243	3231.94	0.00311
HERVH_9q21.13a	5854	2927	1785.00	0.00345	87784	96	2146	2909	2895.52	0.0028
HERVH_10q21.1a	5805	2781	1376.00	0.00346	99953	72	1622	2544	2567.21	0.00237
HERVH_16p13.12	5479	2709	1419.00	0.0035	88123	315	1781	2524	2497.41	0.00258
HERVH_2p14b	5233	2685	1571.00	0.00454	99473	132	1820	2596	2615.26	0.00311
HERVH_Xq23h	5971	2350	334.00	0.00256	105872	10	1824	3168	3138.62	0.00227
MER101_7q36.1a	4546	2303	2290.00	1.38e-06	11204	2289	3473	3723	3697.92	0.000159
HERVH_9q21.33f	6013	2076	1010.00	0.00295	110840	28	1277	2059	2038.21	0.00222
HERVH_3q26.32b	5745	2032	1259.00	0.00211	79744	65	1636	2029	2038.54	0.00187
HERVH_Xq25b	5723	2022	839.00	0.00227	91290	52	1032	1964	1984.60	0.002
HML6_19q13.43b	9597	1995	1962.00	0.00199	3776	1810	2060	2159	2156.38	0.00214
HERVH_Yp11.2c	4926	1819	1079.00	0.00211	65594	13	1206	1854	1837.29	0.00197
HERVIP10F_22q13.2	8446	1744	1661.00	0.000281	4411	1242	2065	2172	2188.87	0.00055
HERV4_11q21	7525	1636	1631.00	0.00205	1644	1414	1639	1641	1641.00	0.00205
HERVH_2p25.1	6186	1618	1017.00	0.00222	88317	22	1259	1652	1696.55	0.00177
HARLEQUIN_Yq11.221c	7418	1501	1418.00	0.000446	5399	1038	2076	2170	2194.07	0.000782
HERVH_14q21.1a	5888	1495	684.00	0.00212	110749	68	1176	1661	1658.52	0.00179
HERVH_4q27	6003	1487	928.00	0.00209	78903	77	1270	1783	1803.91	0.00196
HERVH_5p15.2b	4723	1432	597.00	0.00217	86515	27	900	1617	1642.05	0.00171
HERVS71_19q13.12a	6171	1432	1406.00	0.00165	1549	800	1420	1430	1434.99	0.00166
HERVH_5q32a	4394	1290	653.00	0.00129	60271	182	1196	1469	1505.40	0.0013
HERVH_1p34.3d	5666	1285	807.00	0.000897	27662	26	844	970	966.82	0.00073
HERVH_14q21.3b	5742	1283	1104.00	0.00148	22270	70	1064	1213	1217.09	0.00135
MER61_5p14.1	5900	1165	1165.00	0.00153	1168	1045	1166	1166	1166.33	0.00153
HERVH_4q13.1	5808	1120	300.00	0.00137	104393	53	856	1503	1495.65	0.00163
HERVH_6q23.2f	5868	1102	617.00	0.00192	107722	74	804	1538	1552.95	0.00174
HERVH_4q22.1i	6157	1049	546.00	0.00126	64276	28	784	1099	1095.33	0.00128
HERVH_8q24.22a	5673	974	668.00	0.000951	22110	64	746	851	849.05	0.000813
HERVH_6q16.1b	5692	939	413.00	0.00111	106318	31	710	1307	1315.86	0.00127
HERVH_3q27.3b	5759	881	182.00	0.00134	135009	14	354	1357	1356.75	0.0015
