## RunInfo	version:0.6.5	annotated_features:14968	total_fragments:195957489	pair_mapped:127262267	pair_mixed:50248528	single_mapped:0	unmapped:18446694	unique:112098744	ambig:65412051	overlap_unique:839655	overlap_ambig:1404841
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
__no_feature	0	1212726	1200006.00	0.387	1252393	0	1056123	1086201	1086258.87	0.372
HERVH_6q12f	8478	365063	362875.00	0.217	369488	351108	365322	365907	365915.46	0.217
HERVE_19q12	8838	161912	161314.00	0.107	164877	131787	161542	161921	161924.59	0.107
HARLEQUIN_18p11.22a	7719	51377	50445.00	0.0335	52641	23784	50911	51242	51262.78	0.0335
HERVE_Xp11.23	9446	21116	20884.00	0.0145	35978	15875	21192	21332	21325.33	0.0145
HERVH_22q11.1	3842	20727	18793.00	0.0131	29116	6129	20826	22487	22497.89	0.0127
HERVS71_3q12.3	10012	17535	17445.00	0.0108	17976	15339	17667	17722	17717.46	0.0109
HERVFC1_7q36.2	4756	16903	16771.00	0.00728	17779	6612	16424	16696	16696.15	0.00722
HERVIP10F_22q13.2	8446	16553	15759.00	0.000618	27890	14675	19602	19748	19752.00	0.000727
HML6_19q13.43b	9597	13647	13288.00	0.00764	15031	12727	14088	14177	14178.39	0.00778
HARLEQUIN_Yq11.221c	7418	11981	11918.00	0.000166	18942	11854	14006	14164	14162.20	0.000181
HERV9_5q31.2	9460	10135	9085.00	0.00656	12857	5744	11046	11151	11147.90	0.00669
HERVH_12q24.32	4415	9619	9497.00	0.00531	10312	6667	9674	9718	9717.31	0.00531
HERV3_7q11.21	9613	9414	9371.00	0.00497	9883	9216	9493	9576	9573.33	0.00497
HUERSP3_11p15.1	8314	8688	8671.00	0.00653	8810	8616	8724	8737	8737.00	0.00653
HERVH_19p13.12	5988	8410	8256.00	0.00295	9390	7008	8360	8387	8385.47	0.00295
HERVH48_7q22.1	5519	8092	7692.00	0.00354	9408	6571	8414	8510	8503.93	0.00363
MER4B_11q13.2	4019	6882	6877.00	4.39e-06	117779	6856	50677	56965	56915.44	0.000185
HERVH_19q12	4090	6323	6075.00	0.00437	7821	1916	6221	6301	6295.01	0.00432
HERVH_7p15.3a	5956	5449	5131.00	0.00343	8217	1074	5286	5389	5391.41	0.00346
MER41_6p22.3	6990	5031	4975.00	0.00355	5289	4847	5114	5125	5125.17	0.00355
MER41_7q22.3b	5290	4065	3999.00	0.00343	4279	3835	4142	4155	4155.17	0.00343
MER34B_1q23.3b	2682	4017	3885.00	0.00313	4216	76	2354	3108	3118.17	0.00241
HERVH_6p22.3a	5882	3939	3625.00	0.00249	8144	1087	4101	4247	4244.59	0.00251
HARLEQUIN_17q21.31	7453	3829	3753.00	0.00284	6723	1624	3801	3839	3836.31	0.00284
HERVK11_15q15.1	4013	3223	3027.00	0.00238	3665	2040	3463	3483	3484.02	0.0025
HERVH_10q24.31a	7479	3003	2957.00	0.00196	4059	2322	3217	3264	3263.47	0.00196
HERVH_2p24.3a	5760	2824	2469.00	0.00165	5084	296	2511	2615	2608.52	0.00149
HML5_12q12a	4958	2537	2530.00	0.00148	2593	2368	2544	2552	2550.33	0.00148
HML4_8q24.3	11675	2502	2392.00	0.00158	2892	1769	2677	2690	2689.83	0.00159
LTR46_Xq11.1	8410	2455	2448.00	0.00161	2606	2435	2480	2497	2495.83	0.00161
HERV4_11q21	7525	2320	2316.00	0.00155	2354	2288	2333	2333	2333.83	0.00155
HERVH_11q14.1b	6197	2302	2187.00	0.00132	2875	1727	2325	2330	2331.80	0.00132
MER4_Xq21.31c	4199	2106	2090.00	1.68e-06	14795	2076	5021	5264	5259.00	6.86e-06
HERVFRD_7q36.2	7307	2027	2022.00	0.00102	2048	2003	2038	2041	2040.50	0.00102
ERV316A3_12q14.1e	1835	1948	1948.00	0.00121	1955	1946	1952	1953	1952.50	0.00121
MER101_7q36.1a	4546	1818	1817.00	2.19e-06	21326	1804	2471	2651	2643.00	4.81e-05
HERVE_11q13.4c	8312	1792	1670.00	0.00123	2926	107	1515	1601	1613.16	0.00112
LTR46_11q21	8747	1699	1693.00	0.00114	2292	1678	1708	1733	1729.62	0.00114
HERVH_4q21.21a	5880	1673	1297.00	0.00064	5804	114	1322	1398	1403.93	0.000538
ERVLB4_3p21.31a	4979	1666	1640.00	0.000763	1952	1582	1762	1773	1772.50	0.000784
ERV316A3_7q31.1c	6561	1663	1658.00	3.76e-09	7886	1649	2882	2967	2966.50	3.76e-09
HML3_17p13.1	6385	1590	1495.00	0.00129	2123	525	1618	1631	1631.59	0.0013
HERV9_17q11.2b	10090	1502	1388.00	0.00113	2770	737	1627	1639	1636.88	0.00114
MER4_22p11.2	988	1454	114.00	0.000557	3754	3	411	1146	1147.17	0.000395
ERVLB4_9q22.33b	2071	1431	1430.00	0.00113	1438	1425	1435	1435	1435.50	0.00113
HERVH_19q13.41a	6632	1395	1347.00	0.000909	1801	999	1266	1274	1276.28	0.000909
MER4_7p14.3a	4043	1346	1326.00	0.000842	1499	1175	1412	1423	1424.83	0.000845
HML4_16p13.3	10276	1342	1312.00	0.000798	2458	483	1496	1534	1528.08	0.00086
ERVLB4_21q21.3e	3529	1325	1324.00	0.000833	1368	1029	1332	1339	1336.50	0.000833
HERVW_1p12b	2879	1320	1306.00	0.000841	1368	1051	1330	1335	1335.28	0.000841
HARLEQUIN_7p15.3	6499	1304	1282.00	0.000739	2781	1221	1381	1435	1426.51	0.00074
ERV316A3_21q22.3e	6349	1303	1297.00	0.000986	1358	1279	1320	1325	1323.00	0.000986
HERVH_7q11.21	7353	1275	1273.00	0.000765	1345	1261	1284	1286	1286.00	0.000765
PRIMA41_4q13.3	10898	1245	1245.00	5.4e-06	2486	1239	1396	1405	1405.33	5.4e-06
HERVH_19q13.12b	5713	1240	1156.00	0.000722	4070	555	1253	1268	1269.88	0.000705
HERVS71_7p14.3	10030	1238	1195.00	0.00103	1541	1088	1301	1309	1307.58	0.00106
HERVK11_8q11.1	9741	1234	1226.00	0.000822	1521	974	1253	1259	1261.63	0.000822
HARLEQUIN_1q24.2	6813	1212	1180.00	0.000916	2430	651	1216	1232	1229.77	0.000914
HERV9_19p13.3	7698	1198	1078.00	0.00066	2578	724	1585	1620	1624.75	0.000679
HERVH_10p15.1	6245	1165	1021.00	0.000599	3921	272	1093	1114	1112.22	0.000592
ERV316A3_11q13.3	1141	1141	1140.00	0.000473	1149	1137	1144	1145	1145.00	0.000473
HML2_3q12.3	9123	1128	859.00	0.000856	3696	187	1092	1255	1250.47	0.000844
MER4_3q29f	3792	1089	1076.00	0.000831	1281	608	1119	1148	1144.38	0.000826
ERV316A3_8q13.3a	4749	1066	1064.00	5.71e-08	36126	1063	7097	7436	7431.00	4.89e-05
MER61_6q24.1a	2208	1024	1023.00	0.000732	1036	995	1025	1026	1026.20	0.000732
PRIMA4_12p11.21a	4080	1014	945.00	0.000155	1361	697	1188	1235	1234.00	0.000155
HERV9_7q21.13	9405	1008	935.00	0.000753	3458	535	1168	1195	1194.56	0.000783
HML3_5p15.33d	4350	975	930.00	0.000572	1260	390	972	990	990.77	0.000566
HERVL_9q32	3725	974	965.00	0.000686	1171	803	993	1000	998.47	0.000686
