## RunInfo	version:0.6.5	annotated_features:14968	total_fragments:32278539	pair_mapped:20105303	pair_mixed:11066980	single_mapped:0	unmapped:1106256	unique:16799127	ambig:14373156	overlap_unique:78761	overlap_ambig:934575
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
__no_feature	0	259411	229201.00	0.0945	368386	0	214613	220520	220564.32	0.0887
HERVH_3q13.2	4954	94315	63049.00	0.0778	234715	2901	60980	65099	65032.92	0.0572
HERVH_4q34.3b	4093	55151	45962.00	0.0713	131878	6099	46306	47723	47697.62	0.063
HERVH_6q22.1a	5929	51294	36362.00	0.0671	194317	3971	37979	39748	39772.77	0.0522
HERVH_20q12b	5708	49905	39940.00	0.063	149769	2194	39809	41282	41237.16	0.0485
HERVH_1q41h	5761	45662	28952.00	0.0499	214059	2198	31261	33539	33458.48	0.0378
HERVH_3p14.3a	5721	45368	34870.00	0.0501	149445	2443	38120	40134	40177.76	0.044
HERVH_7q21.11	5716	39663	27424.00	0.0442	170733	2638	30354	31593	31581.42	0.0311
HERVH_16q21d	5545	39502	30162.00	0.0585	186621	1875	30771	32448	32459.87	0.0476
HERVH_13q14.3a	5141	39326	22868.00	0.0435	215856	4751	27642	29742	29706.33	0.0286
HERVH_Xq23g	5860	38814	24001.00	0.0408	210215	1781	24439	26859	26841.10	0.0274
HERVH_Xq21.31c	5678	25243	19937.00	0.0415	116282	448	21822	23157	23095.74	0.0364
HERVH_9q22.33a	5521	22913	12479.00	0.024	195310	1665	17685	19073	19034.42	0.0185
HERVH_12p12.3a	5220	16338	8726.00	0.0223	196503	316	11427	12881	12827.09	0.0169
HERVH_13q14.11a	5155	14113	7731.00	0.014	174250	381	12077	13411	13414.19	0.0118
HERVH_13q21.1a	5860	10220	6639.00	0.0123	154538	947	9116	9781	9758.43	0.0102
HERVH_5q23.2g	6369	7460	5197.00	0.0103	171899	867	6338	7044	7065.83	0.00829
HERVH_12q14.1b	5799	7166	4151.00	0.0138	166446	368	5942	6835	6871.14	0.0117
HERVH_5q23.1c	5866	7085	4924.00	0.00907	140296	592	6679	7048	7010.62	0.00806
HERVH_19q13.42a	5945	6882	4674.00	0.0109	146682	668	6421	7094	7095.79	0.00974
HERVH_16p13.12	5479	6647	4073.00	0.00874	145692	829	6099	6556	6541.41	0.00778
HERVH_9q22.31b	5757	6583	3190.00	0.0077	195682	300	6175	6770	6780.60	0.00632
HERVH_4q35.2a	5629	6353	4762.00	0.00533	9906	1870	7347	7541	7543.14	0.00532
HERVH_20p12.1b	5815	6047	3920.00	0.00682	166870	515	5318	6217	6222.89	0.00594
HERVH_2p14b	5233	5438	3389.00	0.00856	165356	524	5205	6030	6005.80	0.00805
HERVH_10q21.1a	5805	4926	2290.00	0.00488	175378	308	4565	5145	5125.87	0.00418
HERVH_Yp11.2c	4926	3926	3041.00	0.00705	98589	45	3757	4012	4005.46	0.0068
HERVH_16p13.2b	6772	3726	2972.00	0.00406	44010	539	3180	3408	3407.69	0.00377
HERVH_9q21.13a	5854	3593	2184.00	0.00605	163114	337	3281	3863	3857.35	0.00575
HERVH_11p14.1a	5855	3351	1602.00	0.00452	157517	225	3783	4399	4427.01	0.00453
HERVH_9q21.33f	6013	3070	1615.00	0.00503	212553	221	3017	3609	3611.11	0.00465
HERVS71_19q13.12a	6171	2935	2861.00	0.00401	3652	1709	3051	3082	3080.82	0.00401
HERVH_2p14d	6085	2869	2383.00	0.0041	30118	546	2781	2848	2842.58	0.00386
HERVH_4q27	6003	2650	1674.00	0.00458	161061	267	2678	3216	3184.94	0.00486
HARLEQUIN_Yq11.221c	7418	2328	2316.00	0.000168	2678	2277	2392	2399	2400.04	0.000173
HERVH_2p12c	5784	2000	1374.00	0.0035	161682	275	2010	2491	2483.49	0.00361
HERVH_22q12.1	2822	1803	1786.00	2.17e-06	99274	1747	1981	2289	2307.82	0.00103
HERVH_3q26.32b	5745	1723	1084.00	0.00178	121646	142	2531	2821	2827.31	0.00208
HERVH_Xq21.33a	6270	1699	1542.00	0.000447	130497	1287	1992	2258	2265.91	0.000847
HERVH_19q13.12a	5549	1620	1282.00	0.00312	71282	113	1692	1867	1884.18	0.00296
