## RunInfo	version:0.6.5	annotated_features:14968	total_fragments:52868933	pair_mapped:0	pair_mixed:0	single_mapped:41431849	unmapped:11437084	unique:26097734	ambig:15334115	overlap_unique:127794	overlap_ambig:555628
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
__no_feature	0	467358	463942.00	0.626	482768	0	401122	424035	424023.78	0.587
HERVE_19q12	8838	61605	60806.00	0.104	63481	28891	59817	60563	60599.60	0.104
HERVH_6q12f	8478	45118	44870.00	0.0761	45161	38689	44106	44555	44551.65	0.0761
HARLEQUIN_18p11.22a	7719	16863	16497.00	0.0344	17975	2485	15530	16155	16164.30	0.0338
HERVE_Xp11.23	9446	6659	6409.00	0.0136	22822	2548	6657	6960	6958.06	0.0138
HML6_19q13.43b	9597	6600	6536.00	0.0106	8031	5927	6767	6969	6979.24	0.0112
HERVIP10F_22q13.2	8446	3192	3043.00	0.00146	7518	2216	3747	4002	4015.67	0.00264
ERV316A3_7q31.1c	6561	3011	3011.00	2.56e-08	4729	3011	3528	3570	3568.00	6.28e-08
HERVS71_3q12.3	10012	2987	2963.00	0.00639	3095	1944	3006	3018	3020.47	0.00643
HERVH_22q11.1	3842	2861	2526.00	0.0045	3600	562	2402	2619	2610.41	0.00367
HERVFC1_7q36.2	4756	2754	2737.00	0.00397	2888	332	2517	2592	2602.20	0.00376
HARLEQUIN_Yq11.221c	7418	2108	1977.00	0.000904	8398	1335	2887	3080	3084.62	0.00158
MER4B_11q13.2	4019	2076	2076.00	1.55e-09	23704	2076	4880	7657	7700.17	5.73e-05
HERVH48_7q22.1	5519	2055	2020.00	0.00325	2226	1390	2068	2092	2087.28	0.00332
MER101_7q36.1a	4546	2039	1951.00	5.85e-06	10687	1940	3221	3521	3539.58	0.000247
HERV9_5q31.2	9460	1861	1595.00	0.00522	3433	779	2217	2305	2299.50	0.00624
HUERSP3_11p15.1	8314	1770	1761.00	0.00387	1811	1705	1782	1786	1789.20	0.00387
MER41_6p22.3	6990	1371	1356.00	0.00351	1478	1245	1397	1409	1405.33	0.00353
HERV3_7q11.21	9613	1336	1335.00	0.00269	1349	1230	1342	1344	1343.25	0.00269
HERVH_19p13.12	5988	1175	1147.00	0.00188	1881	805	1183	1203	1196.21	0.0019
HARLEQUIN_17q21.31	7453	1009	970.00	0.00237	5974	199	925	958	965.27	0.00226
HERVH_7p15.3a	5956	979	885.00	0.00205	1475	60	729	796	801.20	0.00167
HERVH_12q24.32	4415	863	838.00	0.00183	1200	251	842	861	859.92	0.00185
PRIMA41_4q13.3	10898	843	816.00	2.9e-06	1831	816	967	977	976.08	3.29e-06
HERVE_11q13.4c	8312	800	743.00	0.00159	1809	20	512	626	620.77	0.00126
ERV316A3_12q14.1e	1835	772	772.00	0.00171	773	772	773	773	773.00	0.00171
HML5_12q12a	4958	736	735.00	0.00123	749	619	737	738	738.20	0.00123
MER4_Xq21.31c	4199	710	624.00	0.000242	5073	569	1447	1558	1548.50	0.000362
MER41_7q22.3b	5290	664	653.00	0.00164	725	541	685	688	688.33	0.00164
HERVH_6p22.3a	5882	573	512.00	0.000977	1167	69	451	482	478.11	0.000735
HML3_5p15.33d	4350	561	541.00	0.00119	698	138	517	541	541.27	0.00114
HERV9_19p13.3	7698	545	388.00	0.00112	1459	123	749	772	774.68	0.0015
HARLEQUIN_7p15.3	6499	537	526.00	0.000507	2957	451	554	613	606.77	0.000574
HERVH_19q12	4090	534	475.00	0.000925	877	69	475	506	506.09	0.00083
HERVK11_15q15.1	4013	460	404.00	0.00126	675	147	561	571	572.46	0.00154
HML4_8q24.3	11675	456	390.00	0.00105	1052	155	639	665	661.72	0.00146
HML3_5p15.33c	3112	436	430.00	0.00108	813	106	394	416	413.64	0.00102
HERV4_11q21	7525	398	397.00	0.000976	400	357	397	398	397.50	0.000976
MER34B_1q23.3b	2682	385	379.00	0.000918	407	5	159	271	269.33	0.000671
ERVLB4_21q21.3e	3529	375	373.00	0.000719	377	163	373	373	373.50	0.000718
ERV316A3_21q22.3e	6349	369	369.00	0.000893	393	368	372	374	375.50	0.000893
HERVH_10q24.31a	7479	367	329.00	0.000755	785	190	424	433	430.06	0.000881
ERVLB4_3p21.31a	4979	359	358.00	0.000866	448	319	381	385	387.70	0.000881
HERVL_9q32	3725	344	336.00	0.000717	447	148	343	351	348.12	0.000719
LTR46_11q21	8747	338	337.00	0.000647	443	309	340	348	348.53	0.000653
ERV316A3_8q24.21c	1074	329	329.00	0.000611	329	329	329	329	329.00	0.000611
HERVW_1p12b	2879	326	316.00	0.000545	365	169	336	341	340.52	0.000556
MER41_1p36.12	12630	322	312.00	1.87e-06	1861	307	451	478	484.83	8.53e-06
HML3_17p13.1	6385	321	308.00	0.000836	641	30	304	318	317.63	0.000828
HERVE_5q14.3c	2110	319	291.00	0.000382	1303	57	291	312	312.60	0.000381
