## RunInfo	version:0.6.5	annotated_features:14968	total_fragments:162124633	pair_mapped:112838374	pair_mixed:41848096	single_mapped:0	unmapped:7438163	unique:100130303	ambig:54556167	overlap_unique:555828	overlap_ambig:4629444
transcript	transcript_length	final_count	final_conf	final_prop	init_aligned	unique_count	init_best	init_best_random	init_best_avg	init_prop
__no_feature	0	1154191	933938.00	0.192	1665500	0	826109	852554	852281.74	0.181
HERVH_3q13.2	4954	351426	189785.00	0.0453	1174278	16298	245890	259410	259329.77	0.037
HERVH_Xq23g	5860	239049	136020.00	0.0309	1064571	23891	165031	177522	177477.21	0.0248
HERVH_3p14.3a	5721	237103	172778.00	0.0429	870848	15292	199094	208121	208204.64	0.0361
HERVH_6q22.1a	5929	232776	146253.00	0.0492	905088	25691	171393	179585	179590.79	0.0409
HERVH_20q12b	5708	206354	153244.00	0.0326	630292	7211	169869	176096	176176.54	0.0291
HERVH_13q21.1a	5860	197123	115106.00	0.0306	935464	18874	148723	156176	156218.05	0.0248
HERVH_16q21d	5545	181458	118605.00	0.0276	873669	9849	147313	155921	155870.59	0.0228
HERVH_7q21.11	5716	172678	102367.00	0.023	832649	10018	140443	145807	145835.94	0.0195
HERVH_1q41h	5761	164793	84386.00	0.022	1147553	9960	124441	137258	137141.18	0.0177
HERVH_Xq21.31c	5678	148976	113558.00	0.0318	586503	2615	139287	143892	143933.66	0.0301
HERVH_4q34.3b	4093	146419	105339.00	0.027	568065	11238	130426	135571	135483.52	0.0243
HERVH_13q14.3a	5141	143005	66856.00	0.0226	1053066	11957	111178	120104	120057.15	0.0194
HERVH_9q22.33a	5521	108037	47447.00	0.0289	960328	6184	70218	75497	75438.81	0.0228
HERVH_5q23.2g	6369	75631	29523.00	0.0396	896932	4598	33929	36662	36651.00	0.0371
HERVH_13q14.11a	5155	64211	26566.00	0.00806	886143	1302	63908	68820	68841.21	0.00695
HERVH_12q14.1b	5799	60872	32415.00	0.013	876962	2992	52058	58078	58068.58	0.0116
HERVH_2p12c	5784	54363	35846.00	0.0131	822479	6010	48280	50879	50917.28	0.012
HERVH_19q13.42a	5945	52440	32913.00	0.0106	749048	3068	51564	53684	53716.07	0.00985
HERVH_16p13.2b	6772	52353	43790.00	0.00734	332110	6358	49791	51573	51566.82	0.00715
HERVH_12p12.3a	5220	50972	21463.00	0.0135	955737	953	44340	51233	51121.79	0.0116
HERVH_5q23.1c	5866	41990	26566.00	0.00611	749778	5048	42459	44413	44443.30	0.00565
HERVH_4q22.1a	4193	38437	20081.00	0.00726	702971	2383	34357	37614	37633.38	0.00669
HERVH_9q22.31b	5757	38223	14040.00	0.00533	1005117	2591	37841	40934	40842.11	0.00434
HERVH_4q35.2a	5629	33106	30077.00	0.00703	42865	14585	34351	34641	34642.04	0.00701
HERVH_9q21.13a	5854	31102	15307.00	0.00656	836290	2050	29205	31895	31933.32	0.00591
HERVH_11p14.1a	5855	30821	15240.00	0.0073	891466	1925	31120	34110	34095.18	0.00718
